surah_number,surah_name,ayah_number,reciter,word_number,start_time_ms,end_time_ms,duration_ms,audio_url
1,Al-Fatiha,1,Saud Al-Shuraim,1,0,560,560,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001001.mp3
1,Al-Fatiha,1,Saud Al-Shuraim,2,720,1040,320,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001001.mp3
1,Al-Fatiha,1,Saud Al-Shuraim,3,1600,1920,320,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001001.mp3
1,Al-Fatiha,1,Saud Al-Shuraim,4,2080,2800,720,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001001.mp3
1,Al-Fatiha,2,Saud Al-Shuraim,1,200,520,320,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001002.mp3
1,Al-Fatiha,2,Saud Al-Shuraim,2,770,870,100,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001002.mp3
1,Al-Fatiha,2,Saud Al-Shuraim,3,1570,1670,100,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001002.mp3
1,Al-Fatiha,2,Saud Al-Shuraim,4,1760,3520,1760,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001002.mp3
1,Al-Fatiha,3,Saud Al-Shuraim,1,480,760,280,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001003.mp3
1,Al-Fatiha,3,Saud Al-Shuraim,2,1000,3160,2160,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001003.mp3
1,Al-Fatiha,4,Saud Al-Shuraim,1,0,520,520,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001004.mp3
1,Al-Fatiha,4,Saud Al-Shuraim,2,720,1120,400,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001004.mp3
1,Al-Fatiha,4,Saud Al-Shuraim,3,1440,2760,1320,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001004.mp3
1,Al-Fatiha,5,Saud Al-Shuraim,1,0,720,720,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001005.mp3
1,Al-Fatiha,5,Saud Al-Shuraim,2,920,1640,720,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001005.mp3
1,Al-Fatiha,5,Saud Al-Shuraim,3,1720,2760,1040,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001005.mp3
1,Al-Fatiha,5,Saud Al-Shuraim,4,3000,4760,1760,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001005.mp3
1,Al-Fatiha,6,Saud Al-Shuraim,1,0,520,520,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001006.mp3
1,Al-Fatiha,6,Saud Al-Shuraim,2,760,1400,640,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001006.mp3
1,Al-Fatiha,6,Saud Al-Shuraim,3,1760,3560,1800,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001006.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,1,0,520,520,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,2,760,1080,320,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,3,1440,2200,760,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,4,2560,2920,360,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,5,3440,3560,120,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,6,4240,5000,760,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,7,5320,5680,360,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,8,5930,6030,100,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
1,Al-Fatiha,7,Saud Al-Shuraim,9,6360,14000,7640,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/001007.mp3
82,Al-Infitar,1,Saud Al-Shuraim,1,0,200,200,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082001.mp3
82,Al-Infitar,1,Saud Al-Shuraim,2,360,1480,1120,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082001.mp3
82,Al-Infitar,1,Saud Al-Shuraim,3,1680,3040,1360,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082001.mp3
82,Al-Infitar,2,Saud Al-Shuraim,1,0,360,360,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082002.mp3
82,Al-Infitar,2,Saud Al-Shuraim,2,440,1320,880,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082002.mp3
82,Al-Infitar,2,Saud Al-Shuraim,3,1480,2800,1320,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082002.mp3
82,Al-Infitar,3,Saud Al-Shuraim,1,0,320,320,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082003.mp3
82,Al-Infitar,3,Saud Al-Shuraim,2,400,1120,720,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082003.mp3
82,Al-Infitar,3,Saud Al-Shuraim,3,1160,2200,1040,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082003.mp3
82,Al-Infitar,4,Saud Al-Shuraim,1,0,360,360,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082004.mp3
82,Al-Infitar,4,Saud Al-Shuraim,2,560,1120,560,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082004.mp3
82,Al-Infitar,4,Saud Al-Shuraim,3,1160,2280,1120,https://audio-cdn.tarteel.ai/quran/saudAlShuraim/082004.mp3
